GHG Scopes and categories L1,GHG Scopes and categories L2,Activity L1,Activity L2,Region,Activity unit,Year,Readable unique string,Emission factor [kg CO2e/unit],Emission factor (location-based) [kg CO2e/unit],Emission factor (market-based) [kg CO2e/unit],Source,Description,Link,KEY
Scope 3,Business travel,Land travel,Bus (local),GB,passenger-km,2022,Scope3_Business-travel_Land-travel_Bus-(local)_GB_passenger-km_2022,0.0965,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_landTravel_busLocal
Scope 3,Business travel,Land travel,"Car (average, electric)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(average,-electric)_GB_km_2022",0.04709,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carAverageElectric
Scope 3,Business travel,Land travel,"Car (average, electric)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(average,-electric)_GB_miles_2022",0.07578,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carAverageElectric
Scope 3,Business travel,Land travel,"Car (average, IC)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(average,-IC)_GB_km_2022",0.17067,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carAverageIc
Scope 3,Business travel,Land travel,"Car (average, IC)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(average,-IC)_GB_miles_2022",0.27465,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carAverageIc
Scope 3,Business travel,Land travel,"Car (large, electric)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(large,-electric)_GB_km_2022",0.05084,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carLargeElectric
Scope 3,Business travel,Land travel,"Car (large, electric)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(large,-electric)_GB_miles_2022",0.08183,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carLargeElectric
Scope 3,Business travel,Land travel,"Car (large, IC)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(large,-IC)_GB_km_2022",0.22733,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carLargeIc
Scope 3,Business travel,Land travel,"Car (large, IC)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(large,-IC)_GB_miles_2022",0.36584,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carLargeIc
Scope 3,Business travel,Land travel,"Car (medium, electric)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(medium,-electric)_GB_km_2022",0.04469,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carMediumElectric
Scope 3,Business travel,Land travel,"Car (medium, electric)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(medium,-electric)_GB_miles_2022",0.07192,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carMediumElectric
Scope 3,Business travel,Land travel,"Car (medium, IC)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(medium,-IC)_GB_km_2022",0.17588,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carMediumIc
Scope 3,Business travel,Land travel,"Car (medium, IC)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(medium,-IC)_GB_miles_2022",0.28306,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carMediumIc
Scope 3,Business travel,Land travel,"Car (small, electric)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(small,-electric)_GB_km_2022",0.04046,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carSmallElectric
Scope 3,Business travel,Land travel,"Car (small, electric)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(small,-electric)_GB_miles_2022",0.06511,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carSmallElectric
Scope 3,Business travel,Land travel,"Car (small, IC)",GB,km,2022,"Scope3_Business-travel_Land-travel_Car-(small,-IC)_GB_km_2022",0.1444,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_carSmallIc
Scope 3,Business travel,Land travel,"Car (small, IC)",GB,miles,2022,"Scope3_Business-travel_Land-travel_Car-(small,-IC)_GB_miles_2022",0.23239,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_carSmallIc
Scope 3,Business travel,Land travel,Metro and tram,GB,passenger-km,2022,Scope3_Business-travel_Land-travel_Metro-and-tram_GB_passenger-km_2022,0.02861,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_landTravel_metroAndTram
Scope 3,Business travel,Land travel,Motorbike (average),GB,km,2022,Scope3_Business-travel_Land-travel_Motorbike-(average)_GB_km_2022,0.11355,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_motorbikeAverage
Scope 3,Business travel,Land travel,Motorbike (average),GB,miles,2022,Scope3_Business-travel_Land-travel_Motorbike-(average)_GB_miles_2022,0.18274,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_motorbikeAverage
Scope 3,Business travel,Land travel,Motorbike (large),GB,km,2022,Scope3_Business-travel_Land-travel_Motorbike-(large)_GB_km_2022,0.08306,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_motorbikeLarge
Scope 3,Business travel,Land travel,Motorbike (large),GB,miles,2022,Scope3_Business-travel_Land-travel_Motorbike-(large)_GB_miles_2022,0.13369,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_motorbikeLarge
Scope 3,Business travel,Land travel,Motorbike (medium),GB,km,2022,Scope3_Business-travel_Land-travel_Motorbike-(medium)_GB_km_2022,0.1009,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_motorbikeMedium
Scope 3,Business travel,Land travel,Motorbike (medium),GB,miles,2022,Scope3_Business-travel_Land-travel_Motorbike-(medium)_GB_miles_2022,0.16237,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_motorbikeMedium
Scope 3,Business travel,Land travel,Motorbike (small),GB,km,2022,Scope3_Business-travel_Land-travel_Motorbike-(small)_GB_km_2022,0.13245,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_motorbikeSmall
Scope 3,Business travel,Land travel,Motorbike (small),GB,miles,2022,Scope3_Business-travel_Land-travel_Motorbike-(small)_GB_miles_2022,0.21315,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_miles_businessTravel_landTravel_motorbikeSmall
Scope 3,Business travel,Land travel,Rail (international),GB,passenger-km,2022,Scope3_Business-travel_Land-travel_Rail-(international)_GB_passenger-km_2022,0.00446,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_landTravel_railInternational
Scope 3,Business travel,Land travel,Rail (national),GB,passenger-km,2022,Scope3_Business-travel_Land-travel_Rail-(national)_GB_passenger-km_2022,0.03549,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_landTravel_railNational
Scope 3,Business travel,Land travel,Taxi (large),GB,km,2022,Scope3_Business-travel_Land-travel_Taxi-(large)_GB_km_2022,0.30624,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_taxiLarge
Scope 3,Business travel,Land travel,Taxi (large),GB,passenger-km,2022,Scope3_Business-travel_Land-travel_Taxi-(large)_GB_passenger-km_2022,0.20416,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_landTravel_taxiLarge
Scope 3,Business travel,Land travel,Taxi (regular),GB,km,2022,Scope3_Business-travel_Land-travel_Taxi-(regular)_GB_km_2022,0.20826,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_km_businessTravel_landTravel_taxiRegular
Scope 3,Business travel,Land travel,Taxi (regular),GB,passenger-km,2022,Scope3_Business-travel_Land-travel_Taxi-(regular)_GB_passenger-km_2022,0.14876,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_landTravel_taxiRegular
Scope 3,Business travel,Sea travel,Ferry (average passenger),GB,passenger-km,2022,Scope3_Business-travel_Sea-travel_Ferry-(average-passenger)_GB_passenger-km_2022,0.112862,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_seaTravel_ferryAveragePassenger
Scope 3,Business travel,Sea travel,Ferry (car passenger),GB,passenger-km,2022,Scope3_Business-travel_Sea-travel_Ferry-(car-passenger)_GB_passenger-km_2022,0.129517,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_seaTravel_ferryCarPassenger
Scope 3,Business travel,Sea travel,Ferry (foot passenger),GB,passenger-km,2022,Scope3_Business-travel_Sea-travel_Ferry-(foot-passenger)_GB_passenger-km_2022,0.018738,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_seaTravel_ferryFootPassenger
Scope 3,Employee commuting,Home office,,GB,FTE working hour,2022,Scope3_Employee-commuting_Home-office_GB_FTE-working-hour_2022,0.34075331486473,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_FTEhour_employeeCommuting_homeOffice_BLANK
